종목코드,종목명
060310,3S
054620,APS
265520,AP시스템
211270,AP위성
109960,AP헬스케어
139050,BF랩스
126600,BGF에코머티리얼즈
013720,CBI
083790,CG인바이츠
035760,CJ ENM
311690,CJ 바이오사이언스
051500,CJ프레시웨이
058820,CMG제약
023460,CNH
056730,CNT85
065770,CS
083660,CSA 코스믹
456440,DB금융스팩11호
477760,DB금융스팩12호
099520,DGI
060900,DGP
290120,DH오토리드
025440,DH오토웨어
068790,DMS
241520,DSC인베스트먼트
180400,DXVX
245620,EDGC
037370,EG
050120,ES큐브
214270,FSN
130500,GH신소재
900290,GRT
083450,GST
297890,HB솔루션
440290,HB인베스트먼트
078150,HB테크놀러지
195940,HK이노엔
028300,HLB
278650,HLB바이오스텝
067630,HLB생명과학
024850,HLB이노베이션
047920,HLB제약
115450,HLB테라퓨틱스
046210,HLB파나진
403870,HPSP
036640,HRS
439730,IBKS제20호스팩
442770,IBKS제21호스팩
448760,IBKS제22호스팩
467930,IBKS제23호스팩
469480,IBKS제24호스팩
095340,ISC
950170,JTC
067290,JW신약
035900,JYP Ent.
318000,KBG
024840,KBI메탈
024120,KB오토시스
455250,KB제25호스팩
458320,KB제26호스팩
464680,KB제27호스팩
476470,KB제28호스팩
478390,KB제29호스팩
486630,KB제30호스팩
021320,KCC건설
036670,KCI
044180,KD
046440,KG모빌리언스
151860,KG에코솔루션
035600,KG이니시스
226360,KH 건설
111870,KH 미래물산
060720,KH바텍
058400,KNN
101000,KS인더스트리
122450,KX
052900,KX하이텍
376190,LB루셈
061970,LB세미콘
309960,LB인베스트먼트
225190,LK삼양
060370,LS마린솔루션
417200,LS머트리얼즈
078020,LS증권
476080,M83
086960,MDS테크
038340,MIT
160550,NEW
053290,NE능률
060250,NHN KCP
104200,NHN벅스
222160,NPX
024940,PN풍년
218410,RFHIC
327260,RF머트리얼즈
091340,S&K폴리텍
419530,SAMG엔터
019550,SBI인베스트먼트
950110,SBI핀테크솔루션즈
036120,SCI평가정보
246960,SCL사이언스
099220,SDN
036540,SFA반도체
255220,SG
040610,SG&G
049470,SGA
184230,SGA솔루션즈
016250,SGC E&C
048550,SM C&C
063440,SM Life Design
067160,SOOP
289080,SV인베스트먼트
089230,THE E&M
032540,TJ미디어
022220,TKG애강
048770,TPC
246690,TS인베스트먼트
317240,TS트릴리온
057030,YBM넷
040300,YTN
051390,YW
052220,iMBC
079940,가비아
078890,가온그룹
399720,가온칩스
036620,감성코퍼레이션
198440,강동씨앤엘
217730,강스템바이오텍
114190,강원에너지
094480,갤럭시아머니트리
039240,경남스틸
053950,경남제약
011040,경동제약
024910,경창산업
049720,고려신용정보
014570,고려제약
348150,고바이오랩
950190,고스트스튜디오
098460,고영
035290,골드앤에스
900280,골든센츄리
215000,골프존
121440,골프존뉴딘홀딩스
366030,공구우먼
014200,광림
029480,광무
026910,광진실업
421800,교보12호스팩
440790,교보13호스팩
456490,교보14호스팩
465320,교보15호스팩
482520,교보16호스팩
053270,구영테크
066620,국보디자인
043650,국순당
006050,국영지앤엠
060480,국일신동
078130,국일제지
307750,국전약품
035080,그래디언트
453450,그리드위즈
204020,그리티
402490,그린리소스
114450,그린생명과학
186230,그린플러스
900070,글로벌에스엠
204620,글로벌텍스프리
019660,글로본
053260,금강철강
282720,금양그린파워
036190,금화피에스시
049080,기가레인
420770,기가비스
035460,기산텔레콤
308100,까스텔바작
407400,꿈비
187790,나노
286750,나노브릭
121600,나노신소재
247660,나노씨엠에스
039860,나노엔텍
091970,나노캠텍
417010,나노팀
405920,나라셀라
051490,나라엠앤디
137080,나래나노텍
190510,나무가
242040,나무기술
089600,나스미디어
293580,나우IB
138610,나이벡
130580,나이스디앤비
036800,나이스정보통신
267320,나인테크
111710,남화산업
091590,남화토건
168330,내츄럴엔도텍
094860,네오리진
253590,네오셈
212560,네오오토
095660,네오위즈
042420,네오위즈홀딩스
950220,네오이뮨텍
311390,네오크레마
085910,네오티스
092730,네오팜
290660,네오펙트
306620,네온테크
153460,네이블
007390,네이처셀
033640,네패스
330860,네패스아크
089140,넥스턴바이오
389650,넥스트바이오메디컬
137940,넥스트아이
396270,넥스트칩
348210,넥스틴
225570,넥슨게임즈
217270,넵튠
104620,노랑풍선
194700,노바렉스
285490,노바텍
145170,노브랜드
106520,노블엠앤비
376930,노을
142280,녹십자엠에스
234690,녹십자웰빙
054050,농우바이오
069140,누리플랜
040160,누리플렉스
332290,누보
348340,뉴로메카
060260,뉴보텍
123840,뉴온
012340,뉴인텍
214870,뉴지랩파마
270870,뉴트리
144960,뉴파워프라즈마
085670,뉴프렉스
064260,다날
340360,다보링크
039560,다산네트웍스
154040,다산솔루에타
032190,다우데이타
323350,다원넥스뷰
068240,다원시스
020400,대동금속
008830,대동기어
048470,대동스틸
004780,대륙제관
017650,대림제지
007720,대명소노시즌
389260,대명에너지
317850,대모
290670,대보마그네틱
078140,대봉엘에스
065150,대산F&B
036480,대성미생물
027830,대성창투
104040,대성파인텍
129920,대성하이텍
438220,대신밸런스제13호스팩
442310,대신밸런스제14호스팩
457390,대신밸런스제15호스팩
457630,대신밸런스제16호스팩
471050,대신밸런스제17호스팩
478780,대신밸런스제18호스팩
020180,대신정보통신
045390,대아티아이
108380,대양전기공업
007680,대원
048910,대원미디어
005710,대원산업
290380,대유
120240,대정화금
003310,대주산업
078600,대주전자재료
096350,대창솔루션
140520,대창스틸
131220,대한과학
010170,대한광통신
054670,대한뉴팜
023910,대한약품
021040,대호특수강
021045,대호특수강우
067080,대화제약
298540,더네이쳐홀딩스
032860,더라미
393890,더블유씨피
299170,더블유에스아이
224060,더코디
043090,더테크놀로지
213420,덕산네오룩스
317330,덕산테코피아
077360,덕산하이메탈
090410,덕신이피씨
263600,덕우전자
194480,데브시스터즈
263800,데이타솔루션
206560,덱스터
261200,덴티스
067990,도이치모터스
006620,동구바이오제약
100130,동국S&C
005160,동국산업
075970,동국알앤에스
086450,동국제약
099410,동방선기
033500,동성화인텍
025950,동신건설
088130,동아엘텍
041930,동아화성
060380,동양에스텍
079960,동양이엔피
228340,동양파일
088910,동우팜투테이블
094170,동운아나텍
013120,동원개발
109860,동일금속
032960,동일기연
023790,동일철강
005290,동진쎄미켐
025900,동화기업
131970,두산테스나
073190,듀오백
030350,드래곤플라이
203650,드림시큐리티
223250,드림씨아이에스
060570,드림어스컴퍼니
362990,드림인사이트
217620,디딤이앤에프
016670,디모아
187870,디바이스이엔지
110990,디아이티
263690,디알젬
214680,디알텍
347850,디앤디파마텍
263720,디앤씨미디어
376300,디어유
109740,디에스케이
196490,디에이테크놀로지
066900,디에이피
127120,디엔에이링크
092070,디엔에프
039840,디오
219550,디와이디
310870,디와이씨
104460,디와이피엔에프
079810,디이엔티
113810,디젠스
043360,디지아이
197140,디지캡
068930,디지털대성
033130,디지틀조선
105740,디케이락
263020,디케이앤디
290550,디케이티
066670,디티씨
187220,디티앤씨
383930,디티앤씨알오
131180,딜리
315640,딥노이드
223310,딥마인드
317120,라닉스
462510,라메디텍
042510,라온시큐어
232680,라온테크
418420,라온텍
300120,라온피플
171120,라이온켐텍
388790,라이콤
347700,라이프시맨틱스
214260,라파스
200350,래몽래인
171010,램테크놀러지
084650,랩지노믹스
217500,러셀
038390,레드캡투어
294140,레몬
443250,레뷰코퍼레이션
228670,레이
228850,레이언스
412350,레이저쎌
199550,레이저옵텍
281740,레이크머티리얼즈
277810,레인보우로보틱스
215100,로보로보
090360,로보스타
108490,로보티즈
900260,로스웰
067730,로지시스
071280,로체시스템즈
328130,루닛
038060,루멘스
474170,루미르
141080,리가켐바이오
058470,리노공업
016100,리더스코스메틱
012700,리드코프
302550,리메드
073570,리튬포어스
377450,리파인
277070,린드먼아시아
042500,링네트
193250,링크드
219420,링크제니시스
439090,마녀공장
195500,마니커에프앤지
377480,마음AI
305090,마이크로디지탈
098120,마이크로컨텍솔
424980,마이크로투나노
038290,마크로젠
267980,매일유업
005990,매일홀딩스
093520,매커스
377030,맥스트
100590,머큐리
067280,멀티캠퍼스
072870,메가스터디
215200,메가스터디교육
133750,메가엠디
446540,메가터치
235980,메드팩토
041920,메디아나
014100,메디앙스
054180,메디콕스
086900,메디톡스
078160,메디포스트
408920,메쎄이상
021880,메이슨캐피탈
140410,메지온
241770,메카로
059210,메타바이오메드
058110,멕아이씨에스
434480,모니터랩
080420,모다이노칩
417970,모델솔루션
080160,모두투어
087260,모바일어플라이언스
101330,모베이스
012860,모베이스전자
363260,모비데이즈
348030,모비릭스
250060,모비스
288980,모아데이타
142760,모아라이프플러스
033200,모아텍
333050,모코엠시스
118990,모트렉스
006920,모헨즈
001810,무림SP
279600,미디어젠
095500,미래나노텍
254490,미래반도체
218150,미래생명자원
442900,미래에셋드림스팩1호
100790,미래에셋벤처투자
412930,미래에셋비전스팩1호
446190,미래에셋비전스팩2호
448830,미래에셋비전스팩3호
477380,미래에셋비전스팩4호
477470,미래에셋비전스팩5호
478440,미래에셋비전스팩6호
